sha256,bytes,paths_in_same_hash_group,relativePath,outJson,blockCount
882543dbe81055bab12932d31f7aa53a932dadb831acc6eb5e3c27391c0e132d,883651,11,"doop/OneDrive_3_12-5-2026/Cronogramas técnico tecnológico/Modalidad presencial/Cronograma Validación general_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","882543db_doop_OneDrive_3_12-5-2026_Cronogramas_te_cnico_tecnolo_gico_Modalidad_presencial_Cronograma_Validacio_n_general_GR-PS-TE.json",2044
c906332a3e6eed4cd08a2753da2192fd23647a542c9ca54fa2545650ad084fa3,1768490,2,"doop/OneDrive_3_12-5-2026/Cronogramas técnico tecnológico/Modalidad presencial/Matrículas_TEC_P_ABR-AGO_2026.pdf","c906332a_doop_OneDrive_3_12-5-2026_Cronogramas_te_cnico_tecnolo_gico_Modalidad_presencial_Matri_culas_TEC_P_ABR-AGO_2026.json",1360
7aeb2602e6263eef47fbf470698f9fd58623113cdd29a001d6c7994b0aa5b29f,152976,2,"doop/OneDrive_3_12-5-2026/Trámites y servicios/Cronograma_Servicios de matrícula_GR, PS, TEC_P, D, EL__ABR-AGO_2026.pdf","7aeb2602_doop_OneDrive_3_12-5-2026_Tra_mites_y_servicios_Cronograma_Servicios_de_matri_cula_GR_PS_TEC_P_D_EL_ABR-AGO_2026.json",1270
76484ad70c9939280886172414e2a50d176cb665e284ca31d6aa8c2d204d8422,189257,2,"doop/OneDrive_3_12-5-2026/Trámites y servicios/Cronograma_Servicios de reconocimiento_GR, PS, TEC_D, EL__ABR-AGO_2026.pdf","76484ad7_doop_OneDrive_3_12-5-2026_Tra_mites_y_servicios_Cronograma_Servicios_de_reconocimiento_GR_PS_TEC_D_EL_ABR-AGO_2026.json",934
484e5c579666daf0930ed1a0af5270377ce8e74bd2087a54b1a48f8261d3c7b5,1137061,5,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma académico modular_GR-TEC_EL-P_Íntegro_202630.pdf","484e5c57_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_acade_mico_modular_GR-TEC_EL-P_I_.json",2128
dc23d185ab9ef63df81538759a8e1a6a0f5ed48f3f5b21784981b2abbfee0e49,2367315,4,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Académico_regular-CCE__GR-TEC__D-EL__Íntegro__202630.pdf","dc23d185_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Acade_mico_regular-CCE_GR-TEC_D-E.json",5950
714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,911862,13,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202630.pdf","71416235_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Ubicacio_n-Suficiencia-Validacio_.json",2106
eee1c735ea4b9a4725d3a7b45546c4316b424bef1a1c62c2478ab9c4c3212818,3198758,9,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Unidad Integración Curricular_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","eee1c735_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Unidad_Integracio_n_Curricular_GR.json",5423
18b209296a738dfe92cf959d218e7894b1c8b4eddc7f722cd95ac38c4a112a5e,3933378,7,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Unidad Titulación Especial_GR-PS_D-P_Íntegro_202630.pdf","18b20929_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Unidad_Titulacio_n_Especial_GR-PS.json",6537
882543dbe81055bab12932d31f7aa53a932dadb831acc6eb5e3c27391c0e132d,883651,11,"doop/OneDrive_4_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Validación general_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","882543db_doop_OneDrive_4_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Validacio_n_general_GR-PS-TEC_D-E.json",2044
